s.no,barcode,,trt,days,date,leaves,No. of internodes,int1,int2,int3,int4,int5,int6,int7,intleng,leafl1,leafl2,leafl3,leafl,leafw1,leafw2,leafw3,leafw,"pet1",pet2,pet3,petleng
19,3IM211E3,IMB211,SHADE,38,22/11/2010,8,2,16.21,15.99,24.77,,,,,19.0,66.86,69.44,56.56,64.3,33.39,23.87,28.18,28.5,19.84,5.5,16.06,13.8
20,3R500E4,R500,SHADE,38,22/11/2010,8,6,9.47,18.5,11.86,53.91,70.21,89.19,,42.2,87.41,84.99,103.71,92.0,65.66,71.63,69.55,68.9,63.56,86.92,80.24,76.9
21,3R500F1,R500,SHADE,38,22/11/2010,8,6,8.61,12.87,15.41,39.53,60.39,68.29,,34.2,99.54,104.65,95.44,99.9,72.8,62.06,72.09,69.0,72.45,73.19,72.29,72.6
22,3IM211F2,IMB211,SHADE,38,22/11/2010,8,4,7.99,4.82,14.75,7.56,,,,8.8,57.36,41.03,60.15,52.8,32.71,28.36,27.38,29.5,29.69,30.51,17.95,26.1
23,3R500F3,R500,SHADE,38,22/11/2010,8,7,8.39,14.36,34.85,52.15,73.66,54.12,68.12,43.7,108.04,122.54,108.95,113.2,87.74,93.14,83.31,88.1,94.43,85.61,87.19,89.1
24,3IM211F4,IMB211,SHADE,38,22/11/2010,8,4,7.11,13.4,17.42,24,,,,15.5,44.19,46.45,56.31,49.0,30.84,18.84,21.42,23.7,24.05,27.72,24.13,25.3
25,4IM211G1,IMB211,SHADE,38,22/11/2010,8,3,5.9,20.27,24.34,,,,,16.8,31.19,46.73,24.36,34.1,21.34,22.88,14.3,19.5,24.07,22.72,16.72,21.2
26,4R500G2,R500,SHADE,38,22/11/2010,10,6,18.87,14.31,30.49,45.49,55.76,59.04,,37.3,114.85,107.08,83.65,101.9,70.31,51.3,77.82,66.5,58.16,61.91,60.7,60.3
27,4IM211G3,IMB211,SHADE,38,22/11/2010,8,4,8.77,10.91,18.29,21.54,,,,14.9,30.13,49.99,53.76,44.6,22.52,29.9,19.47,24.0,26.42,17.01,10.58,18.0
28,4R500G4,R500,SHADE,38,22/11/2010,8,7,9.59,16.73,17.46,41.32,51.13,66.46,53.99,36.7,101.66,93.59,90.35,95.2,72.41,76.42,60.34,69.7,79.64,84.63,82.72,82.3
29,4R500H1,R500,SHADE,38,22/11/2010,7,5,13.34,12.8,23.19,30.1,48.57,,,25.6,51.93,87.13,77.05,72.0,74.52,72.97,45.21,64.2,67.84,73.04,75.46,72.1
30,4IM211H2,IMB211,SHADE,38,22/11/2010,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
